window_id,speed_mps_mean,speed_kmh_mean,acceleration_mps2_mean,acceleration_kmh2_mean,bearing_deg_mean,speed_mps_var,speed_kmh_var,acceleration_mps2_var,acceleration_kmh2_var,bearing_deg_var,speed_mps_max,speed_kmh_max,acceleration_mps2_max,acceleration_kmh2_max,bearing_deg_max,speed_mps_min,speed_kmh_min,acceleration_mps2_min,acceleration_kmh2_min,bearing_deg_min,speed_mps_q90,speed_kmh_q90,acceleration_mps2_q90,acceleration_kmh2_q90,bearing_deg_q90
1829,8.441934936323978,30.390965770766325,-0.7596552117017413,-9845.131543654568,26.814837024665906,50.54976993260404,655.1250183265483,0.8317039502573513,139694326.21154514,147.40557849541005,15.825022242787034,56.97008007403332,0.2922922575162854,3788.107657411059,36.227686187818335,1.6411652859249688,5.908195029329888,-1.327567493754517,-17205.27471905854,13.110952719966974,14.231941250281613,51.23498850101381,-0.014904273760370124,-193.15938793439682,35.20332338349715
1830,0.34272869043497745,1.2338232855659186,-0.1410680943803784,-1828.2425031697048,168.92165951510816,0.05669457177774655,0.7347616502395948,0.014431618725228305,2423957.7716793055,4411.000620989268,0.5110952129056672,1.8399427664604016,-0.0561221741568965,-727.3433770733797,215.8844140179547,0.1743621679642877,0.6277038046714357,-0.2260140146038603,-2929.14162926603,121.9589050122616,0.4774219084115292,1.718718870281505,-0.07311135820159288,-947.5232022926447,206.49186311738538
1831,0.9351340136147784,3.366482449013203,0.1436623010941051,1861.863422179602,48.65865605294474,2.5905579436684025,33.573630949942505,0.07743193805453144,13005592.206739986,472.3897729979593,2.793647819540426,10.057132150345536,0.4643511351645626,6017.990711732731,72.84802043038246,0.0042132127508584,0.0151675659030903,-0.0340297910426858,-441.02609191320863,30.77210359119493,2.2364264573429513,8.051135246434626,0.3716140199637378,4816.117698730042,66.74958517175733
1832,5.842264411006643,21.032151879623918,0.3307153997297121,4286.07158049707,28.919031969201455,3.621805582067263,46.93860034359172,0.02777750950888466,4665554.941127479,59.06512531443293,7.187962293532149,25.87666425671574,0.4485659608418355,5813.414852510188,34.353419023618585,4.496566528481137,16.187639502532093,0.2128648386175887,2758.7283084839505,23.48464491478433,6.918822717027048,24.907761781297374,0.4249958486194108,5507.946198107565,33.26654161273516
1833,11.548885464442863,41.57598767199432,0.3730851357290961,4835.183359049086,19.52853545574307,2.5048374956396646,32.46269394349001,0.12506378048468025,21005912.67225567,3.6544208491350183,13.37359399131257,48.14493836872525,0.5893546618439788,7638.036417497965,20.74763619651304,10.548972137420003,37.97629969471202,-0.0350236254352033,-453.9061856402353,17.325320789772093,12.84369324596926,46.237295685489336,0.5844686036308856,7574.713103056278,20.700638833399246
1834,9.38591071139904,33.78927856103655,-0.41815420931201563,-5419.2785526837215,17.812198918208065,6.836509688819005,88.60116556709426,0.11526006889879803,19359265.588352345,13.112361225385403,11.034718945642105,39.72498820431157,-0.0565747474793671,-733.2087273325976,21.91118873213821,6.371167980309749,22.936204729115097,-0.7301128713225865,-9462.26281234072,15.047810239862883,10.978144198162738,39.52131911338585,-0.1388147998103123,-1799.0398055416474,20.824470542235186
1835,8.945910413890326,32.20527749000517,0.39821228471879283,5160.831209955555,23.171838605856266,10.378499415474922,134.50535242455504,0.2608131993798949,43806602.26896615,3.2491283529990334,11.22390288704239,40.40605039335261,0.7593308243840217,9840.92748401692,24.446422528750134,6.667917940738261,24.00450458665774,0.037093745053564,480.7349358941894,21.8972546829624,10.768304392411977,38.76589581268312,0.6871071164509759,8904.908229204648,24.191505744171362
1836,10.20938136118676,36.75377290027233,-0.11283216711219259,-1462.3048857740162,26.469005847132888,2.6616250207808223,34.49466026931946,0.25147083776121726,42237444.26371447,34.397494269869185,12.091195069060207,43.52830224861675,0.4578616555971768,5933.887056539412,33.029123363639485,9.192923879022924,33.09452596448253,-0.4830451983395472,-6260.265770480532,21.732534407979472,11.541761082343594,41.550339896436945,0.30362673275889995,3935.002456555344,31.35237064486753
1837,10.254849824895846,36.91745936962505,0.15429435594523006,1999.6548530501823,41.84442751530466,0.6362021930836556,8.245180422364172,0.010169505230893147,1708086.3697891817,0.022313380037645235,10.818854343088589,38.94787563511892,0.225601807277097,2923.7994223111778,41.95005274912131,9.690845306703103,34.88704310413117,0.0829869046133631,1075.5102837891868,41.738802281488006,10.70605343945004,38.54179238202015,0.21134031701072362,2738.9705084589787,41.92892770235798
1838,3.3497914294604176,12.059249146057502,-0.5740437956617187,-7439.607591775875,42.360948028077395,5.507051053913572,71.37138165871988,0.10949488647018546,18390936.3233507,34.556364690319505,5.301618896728079,19.085828028221083,-0.2599823815631392,-3369.3716650582846,48.887649808322976,0.7460484027407911,2.685774249866848,-0.919539241060085,-11917.228564138702,37.48267063989846,5.04163651516494,18.14989145459378,-0.3165078581228977,-4101.9418412727555,47.25262457386053
1839,3.746987541758623,13.489155150331044,0.46145090084549295,5980.403674957589,41.93241660471159,15.976373257892401,207.05379742228553,0.3272236990957017,54961016.05803264,14.343232799089613,8.1058302769488,29.180988997015685,1.0448418036416842,13541.149775196229,46.06067947802802,0.2535110895866899,0.9126399225120838,-0.0985074626308202,-1276.6567156954302,38.61875844337419,7.060988473307117,25.419558503905623,0.9234771152184704,11968.263413231376,45.072105960968926
